Year,Company,sentiment_score_positive,sentiment_score_negative,sentiment_score_polarity,sentiment_score_subjectivity,similarity_score,nlp_result,Yearly_Return,DJIA_Return_Previous_Year,Sector
2016,JPM,1.0,0.0,0.999999000001,0.0312499990234375,0.9407165707304572,0,0.3870231020069388,-0.0228767543826503,Financials
2016,KO,409.0,450.0,-0.0477299184543307,0.0614713038456081,0.9972829703991806,0,0.0095894384900308,-0.0228767543826503,Consumer Staples
2016,MCD,236.0,134.0,0.2756756749306063,0.0537478210264747,0.986497362530956,0,0.0671192766505917,-0.0228767543826503,Consumer Discretionary
2016,MMM,227.0,209.0,0.0412844035750357,0.0505683136104652,0.9801722026260256,0,0.2488358618236927,-0.0228767543826503,Industrials
2016,MRK,400.0,707.0,-0.2773261063438788,0.0724950884038968,0.9953542467717248,0,0.1579955412069342,-0.0228767543826503,Health Care
2016,MSFT,100.0,227.0,-0.3883792037052623,0.0543821719517076,0.9793318354537628,0,0.1650568835545758,-0.0228767543826503,Information Technology
2016,NKE,143.0,254.0,-0.2795969766257003,0.0411313717321662,0.9928519149459564,0,-0.1638960934561452,-0.0228767543826503,Consumer Discretionary
2016,NVDA,90.0,169.0,-0.3050193038416243,0.0583859332600572,0.9838417159960116,0,2.329195715579133,-0.0228767543826503,Information Technology
2016,PG,222.0,311.0,-0.1669793617880312,0.0599954975168847,0.9876270180374424,0,0.1081155185140214,-0.0228767543826503,Consumer Staples
2016,SHW,1.0,0.0,0.999999000001,0.0370370356652949,0.951792162125523,0,0.0678287157620505,-0.0228767543826503,Materials
2016,TRV,357.0,1710.0,-0.6545718429344113,0.0997201852518467,0.9972701887379632,0,0.1388719616912936,-0.0228767543826503,Financials
2016,UNH,128.0,144.0,-0.0588235291955017,0.0585449849206747,0.9827507610721402,0,0.3981062667537616,-0.0228767543826503,Health Care
2016,V,119.0,194.0,-0.239616612652982,0.0534677143741941,0.9719984143966386,0,0.038485514898829,-0.0228767543826503,Financials
2016,VZ,1.0,0.0,0.999999000001,0.0322580634755463,0.9637389605272868,0,0.2162045176282718,-0.0228767543826503,Communication Services
2016,WMT,3.0,0.0,0.9999996666667778,0.0789473663434903,1.0,0,0.1572914732672277,-0.0228767543826503,Consumer Staples
2017,AAPL,89.0,174.0,-0.3231939151209357,0.0580445817572181,0.9930707782133932,0,0.4804253472129769,0.1524094340290951,Information Technology
2017,AMGN,127.0,131.0,-0.0155038759088997,0.0533388463813647,0.9910246911629708,0,0.1860175593922526,0.1524094340290951,Health Care
2017,AMZN,109.0,103.0,0.0283018866589533,0.0519990188736818,0.9860316055918608,0,0.5517003942803884,0.1524094340290951,Consumer Discretionary
2017,AXP,314.0,465.0,-0.1938382539231858,0.0584703144893439,0.9948522404619832,0,0.3392046443752212,0.1524094340290951,Financials
2017,BA,157.0,306.0,-0.321814254164548,0.0672671799989441,0.991873789513672,0,0.9311481587221736,0.1524094340290951,Industrials
2017,CAT,408.0,745.0,-0.2922810058176227,0.0926253213293199,0.9981680998627712,0,0.7270578763712947,0.1524094340290951,Industrials
2017,CRM,141.0,228.0,-0.2357723570846277,0.0562499999914253,0.9823507463052228,0,0.4492485424654941,0.1524094340290951,Information Technology
2017,CSCO,103.0,357.0,-0.5521739118431002,0.0540286586734756,0.9940370338309004,0,0.2989280364807083,0.1524094340290951,Information Technology
2017,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0,0.1044883109123415,0.1524094340290951,Energy
2017,DIS,125.0,229.0,-0.2937853099045612,0.0528752800518483,0.9964060095185368,0,0.0292332509097588,0.1524094340290951,Communication Services
2017,GS,404.0,861.0,-0.3612648218488025,0.0562447201077655,0.9979197528965792,0,0.0678860754032328,0.1524094340290951,Financials
2017,HD,75.0,67.0,0.0563380277722674,0.0452806122304589,0.980610611470484,0,0.4436525003755982,0.1524094340290951,Consumer Discretionary
2017,HON,122.0,191.0,-0.2204472836407435,0.0588456476670716,0.9955679496923576,0,0.3471587701920202,0.1524094340290951,Industrials
2017,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0,-0.0467695999669947,0.1524094340290951,Information Technology
2017,JNJ,113.0,263.0,-0.3989361691517655,0.0641966877131301,0.9957581670899396,0,0.2374855324671847,0.1524094340290951,Health Care
2017,JPM,1.0,0.0,0.999999000001,0.0312499990234375,0.9472898022319594,0,0.2539274320508442,0.1524094340290951,Financials
2017,KO,392.0,460.0,-0.0798122064790936,0.059567922809231,0.997573614687512,0,0.1345174418632193,0.1524094340290951,Consumer Staples
2017,MCD,227.0,106.0,0.3633633622721821,0.0525402335038592,0.9922667961940508,0,0.4759672153301293,0.1524094340290951,Consumer Discretionary
2017,MMM,238.0,281.0,-0.0828516376052955,0.055502085332531,0.9065987605841518,0,0.3529777661061788,0.1524094340290951,Industrials
2017,MRK,362.0,593.0,-0.2418848165006441,0.0729118949402266,0.9939310795963412,0,-0.0358288342923069,0.1524094340290951,Health Care
2017,MSFT,95.0,209.0,-0.3749999987664473,0.0530633618339913,0.9819389271401636,0,0.3974112339098488,0.1524094340290951,Information Technology
2017,NKE,145.0,237.0,-0.2408376957046133,0.0419043440059341,0.993770692347834,0,0.2194097678245126,0.1524094340290951,Consumer Discretionary
2017,NVDA,86.0,132.0,-0.2110091733439946,0.0554848561833838,0.9882207010867432,0,0.9042628273191236,0.1524094340290951,Information Technology
2017,PG,261.0,318.0,-0.0984455956848953,0.0600062182547407,0.9908557921253732,0,0.1253460832030661,0.1524094340290951,Consumer Staples
2017,SHW,1.0,0.0,0.999999000001,0.0370370356652949,0.9676044049321668,0,0.508584584631691,0.1524094340290951,Materials
2017,TRV,323.0,1699.0,-0.6805143418988554,0.1063594760871937,0.9953453638335732,0,0.1478338793057925,0.1524094340290951,Financials
2017,UNH,105.0,123.0,-0.0789473680747922,0.0565476190335943,0.9933926203531778,0,0.3861369261249221,0.1524094340290951,Health Care
2017,V,122.0,182.0,-0.1973684204033933,0.0520191649466086,0.9915792908709008,0,0.4443663999652101,0.1524094340290951,Financials
2017,VZ,1.0,0.0,0.999999000001,0.0333333322222222,0.936914922958063,0,0.0168946504726381,0.1524094340290951,Communication Services
2017,WMT,3.0,0.0,0.9999996666667778,0.0789473663434903,0.992488068074817,0,0.4754265421910737,0.1524094340290951,Consumer Staples
2018,AAPL,88.0,145.0,-0.2446351920831107,0.0528824330338442,0.9910735837953568,0,-0.0705432620791788,0.243311507357806,Information Technology
2018,AMGN,121.0,145.0,-0.0902255635705805,0.0503216042280889,0.9843784600842664,0,0.1321488038338139,0.243311507357806,Health Care
2018,AMZN,108.0,109.0,-0.0046082949096391,0.0506654214217451,0.9669804284194852,0,0.2632106121225375,0.243311507357806,Consumer Discretionary
2018,AXP,354.0,469.0,-0.1397326851279068,0.0597936646280301,0.995035191901203,0,-0.0225603590347464,0.243311507357806,Financials
2018,BA,145.0,267.0,-0.2961165041356395,0.0667422646903058,0.989301513116064,0,0.1077670696820216,0.243311507357806,Industrials
2018,CAT,434.0,578.0,-0.1422924899779718,0.0807532716181971,0.9976433350213588,0,-0.1727459206082927,0.243311507357806,Industrials
2018,CRM,161.0,204.0,-0.1178082188553199,0.0539701315904228,0.9929733100621996,0,0.311847597381627,0.243311507357806,Information Technology
2018,CSCO,118.0,342.0,-0.4869565206805293,0.0588235294042425,0.9911993753683904,0,0.1489173978536349,0.243311507357806,Information Technology
2018,CVX,0.0,0.0,0.0,0.0,0.9785232396175956,0,-0.1143814627987236,0.243311507357806,Energy
2018,DIS,131.0,226.0,-0.2661064418316346,0.0494596841161735,0.9956403837186536,0,-0.0036783303647875,0.243311507357806,Communication Services
2018,GS,411.0,820.0,-0.3322502028170185,0.0559189606588571,0.997491077704456,0,-0.3376184343295665,0.243311507357806,Financials
2018,HD,61.0,45.0,0.1509433948024208,0.0475336322656799,0.9358281367451888,0,-0.0655598070011438,0.243311507357806,Consumer Discretionary
2018,HON,143.0,181.0,-0.1172839502552964,0.0632936120212358,0.9958184153396462,0,-0.0847513920246483,0.243311507357806,Industrials
2018,IBM,0.0,0.0,0.0,0.0,0.9080185510304296,0,-0.2297469267475758,0.243311507357806,Information Technology
2018,JNJ,114.0,206.0,-0.2874999991015625,0.0596903562656798,0.9928680768586496,0,-0.0479759403599269,0.243311507357806,Health Care
2018,JPM,1.0,0.0,0.999999000001,0.0312499990234375,0.9472898022319594,0,-0.0749741902295461,0.243311507357806,Financials
2018,KO,389.0,465.0,-0.0889929741346686,0.0596618694942251,0.9973329959972342,0,0.0757064383358798,0.243311507357806,Consumer Staples
2018,MCD,219.0,94.0,0.3993610210883034,0.048235475412508,0.9882513338083804,0,0.0510736326883616,0.243311507357806,Consumer Discretionary
2018,MMM,246.0,277.0,-0.0592734224488079,0.0535366977117886,0.9865192216610196,0,-0.1699435737653084,0.243311507357806,Industrials
2018,MRK,327.0,513.0,-0.2214285711649659,0.0679831660676607,0.9823654714403623,0,0.4007835967959816,0.243311507357806,Health Care
2018,MSFT,95.0,160.0,-0.2549019597846982,0.0472047389768225,0.9647475836986162,0,0.2021907029570102,0.243311507357806,Information Technology
2018,NKE,128.0,220.0,-0.2643678153322764,0.0439172135229786,0.9896418263018614,0,0.1809348766962244,0.243311507357806,Consumer Discretionary
2018,NVDA,75.0,111.0,-0.1935483860561914,0.0503382949796107,0.9841167154270613,0,-0.3284546955838385,0.243311507357806,Information Technology
2018,PG,271.0,292.0,-0.0373001775536408,0.0557205067244932,0.9787200809113004,0,0.0497480133607062,0.243311507357806,Consumer Staples
2018,SHW,1.0,0.0,0.999999000001,0.0370370356652949,0.951792162125523,0,-0.0408488849342808,0.243311507357806,Materials
2018,TRV,315.0,1750.0,-0.6949152539007675,0.1062844201911429,0.996971465825526,0,-0.0713884473438811,0.243311507357806,Financials
2018,UNH,102.0,106.0,-0.0192307691383136,0.055913978479593,0.9958877449093064,0,0.1416142035686307,0.243311507357806,Health Care
2018,V,127.0,214.0,-0.2551319640611966,0.0555284155584549,0.9908213139913352,0,0.1598911945900449,0.243311507357806,Financials
2018,VZ,1.0,0.0,0.999999000001,0.0333333322222222,0.8719105016170159,0,0.1001066178277236,0.243311507357806,Communication Services
2018,WMT,135.0,139.0,-0.014598540092706,0.0490951442305867,0.4564578652560103,0,-0.0327523943632338,0.243311507357806,Consumer Staples
2019,AAPL,44.0,79.0,-0.2845528432150175,0.0468928707407957,0.975236179976106,0,0.8874246839625388,-0.0602863454475973,Information Technology
2019,AMGN,105.0,130.0,-0.1063829782707107,0.046840741469635,0.992531393668174,0,0.2944298899386863,-0.0602863454475973,Health Care
2019,AMZN,105.0,104.0,0.004784688972322,0.0528044466769064,0.9913672218473808,0,0.2005743720383446,-0.0602863454475973,Consumer Discretionary
2019,AXP,293.0,434.0,-0.1939477301321214,0.0590289054840022,0.9983034054893865,0,0.320187507856335,-0.0602863454475973,Financials
2019,BA,147.0,294.0,-0.3333333325774754,0.0664256665060362,0.9632559415524976,0,0.0292016947725632,-0.0602863454475973,Industrials
2019,CAT,444.0,449.0,-0.005599104137067,0.0791245791175682,0.9942056796511528,0,0.20166118988664,-0.0602863454475973,Industrials
2019,CRM,170.0,123.0,0.1604095557665203,0.0492519751135901,0.984062588187948,0,0.1998525480291457,-0.0602863454475973,Information Technology
2019,CSCO,90.0,275.0,-0.5068493136798649,0.0613239247208797,0.9880700107338998,0,0.14819588113512,-0.0602863454475973,Information Technology
2019,CVX,0.0,0.0,0.0,0.0,0.9785232396175956,0,0.1329499716541093,-0.0602863454475973,Energy
2019,DIS,142.0,268.0,-0.3073170724211779,0.0511540860822016,0.9749070820345296,0,0.3434665293374412,-0.0602863454475973,Communication Services
2019,GS,399.0,875.0,-0.3736263733331033,0.0570303057407659,0.9966696601128392,0,0.3641234380312874,-0.0602863454475973,Financials
2019,HD,65.0,55.0,0.0833333326388889,0.0500208419966565,0.9820586662449132,0,0.3011304392967215,-0.0602863454475973,Consumer Discretionary
2019,HON,136.0,151.0,-0.0522648081802619,0.0586912065319649,0.9983838842406144,0,0.3699586340513565,-0.0602863454475973,Industrials
2019,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0,0.2192423304825037,-0.0602863454475973,Information Technology
2019,JNJ,136.0,221.0,-0.2380952374283046,0.064185544756529,0.9941988410863618,0,0.174027174513965,-0.0602863454475973,Health Care
